RSF 117sn(3he,4he)116sn
No    Eg(MeV)    f(MeV**-3)    df(MeV**-3)
0    0.029600  0.000000E-00   0.000000E-00
1    0.149600  0.000000E-00   0.000000E-00
2    0.269600  0.000000E-00   0.000000E-00
3    0.389600  0.000000E-00   0.000000E-00
4    0.509600  0.000000E-00   0.000000E-00
5    0.629600  0.000000E-00   0.000000E-00
6    0.749600  0.000000E-00   0.000000E-00
7    0.869600  0.000000E-00   0.000000E-00
8    0.989600  0.000000E-00   0.000000E-00
9    1.109600  0.000000E-00   0.000000E-00
10   1.229600  0.000000E-00   0.000000E-00
11   1.349600  0.000000E-00   0.000000E-00
12   1.469600  0.000000E-00   0.000000E-00
13   1.589600  2.707287E-09   1.830021E-10
14   1.709600  2.854020E-09   1.614483E-10
15   1.829600  2.996502E-09   1.706236E-10
16   1.949600  3.662919E-09   1.720265E-10
17   2.069600  4.227804E-09   1.746028E-10
18   2.189600  3.621678E-09   1.866865E-10
19   2.309600  3.752278E-09   1.807715E-10
20   2.429600  3.829120E-09   1.783011E-10
21   2.549600  3.874716E-09   2.027090E-10
22   2.669600  4.347818E-09   1.881524E-10
23   2.789600  4.591128E-09   1.954324E-10
24   2.909600  4.648183E-09   1.779652E-10
25   3.029600  5.188198E-09   2.366971E-10
26   3.149600  5.402789E-09   2.431623E-10
27   3.269600  5.252370E-09   2.533424E-10
28   3.389600  5.904405E-09   2.621188E-10
29   3.509600  6.004434E-09   3.221070E-10
30   3.629600  6.264809E-09   3.435648E-10
31   3.749600  7.189878E-09   3.654107E-10
32   3.869600  6.571092E-09   3.956227E-10
33   3.989600  7.276509E-09   3.934941E-10
34   4.109600  7.602081E-09   4.600691E-10
35   4.229600  7.866454E-09   5.619414E-10
36   4.349600  8.472717E-09   5.529053E-10
37   4.469600  1.093683E-08   6.601532E-10
38   4.589600  1.144277E-08   6.558512E-10
39   4.709600  1.379025E-08   8.764356E-10
40   4.829600  1.570051E-08   9.770501E-10
41   4.949600  1.642070E-08   1.181450E-09
42   5.069600  1.920303E-08   1.144471E-09
43   5.189600  2.100025E-08   1.549726E-09
44   5.309600  2.589518E-08   1.677415E-09
45   5.429600  3.154523E-08   1.929908E-09
46   5.549600  3.224011E-08   2.224908E-09
47   5.669600  3.696696E-08   2.790849E-09
48   5.789600  3.842963E-08   3.416350E-09
49   5.909600  3.690995E-08   3.604987E-09
50   6.029600  4.779343E-08   4.368986E-09
51   6.149600  6.195782E-08   5.353105E-09
52   6.269600  6.075737E-08   6.036204E-09
53   6.389600  6.452475E-08   6.725855E-09
54   6.509600  6.836246E-08   8.184550E-09
55   6.629600  7.559881E-08   8.177931E-09
56   6.749600  9.264951E-08   1.057627E-08
57   6.869600  9.887382E-08   1.172519E-08
58   6.989600  1.187337E-07   1.493321E-08
