#nucleus-nld-mass-strength-omp 127Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
3.10000E+01 3.42561E-11 8.24811E-08 6.41215E-06 1.54390E-02
3.20000E+01 3.09017E-11 7.60316E-08 6.36226E-06 1.56540E-02
3.30000E+01 2.79775E-11 7.03757E-08 6.31729E-06 1.58907E-02
#nucleus-nld-mass-strength-omp 127Bi-1-1-1-2
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 9.54975E-09 0.00000E+00 2.24130E-16
2.00000E-03 4.07136E-13 9.54933E-09 2.04649E-20 1.79314E-15
5.00000E-03 1.01784E-12 9.54806E-09 7.99410E-19 2.80226E-14
1.00000E-02 2.03569E-12 9.54596E-09 1.27906E-17 2.24244E-13
2.00000E-02 4.07140E-12 9.54172E-09 2.04651E-16 1.79495E-12
5.00000E-02 1.01791E-11 9.52888E-09 7.99463E-15 2.80932E-11
1.00000E-01 2.03622E-11 9.50703E-09 1.27939E-13 2.25370E-10
2.00000E-01 4.07567E-11 9.46177E-09 2.04866E-12 1.81287E-09
3.00000E-01 6.12160E-11 9.41470E-09 1.03850E-11 6.15164E-09
4.00000E-01 8.17728E-11 9.36613E-09 3.28828E-11 1.46599E-08
5.00000E-01 1.02460E-10 9.31635E-09 8.04719E-11 2.87849E-08
6.00000E-01 1.23311E-10 9.26567E-09 1.67354E-10 5.00029E-08
7.00000E-01 1.44361E-10 9.21439E-09 3.11116E-10 7.98202E-08
8.00000E-01 1.65643E-10 9.16281E-09 5.32871E-10 1.19773E-07
9.00000E-01 1.87193E-10 9.11124E-09 8.57429E-10 1.71431E-07
1.00000E+00 2.09049E-10 9.05998E-09 1.31350E-09 2.36395E-07
1.10000E+00 2.31248E-10 9.00934E-09 1.93391E-09 3.16302E-07
1.20000E+00 2.53829E-10 8.95963E-09 2.75591E-09 4.12826E-07
1.30000E+00 2.76833E-10 8.91116E-09 3.82144E-09 5.27683E-07
1.40000E+00 3.00301E-10 8.86425E-09 5.17750E-09 6.62628E-07
1.50000E+00 3.24277E-10 8.81922E-09 6.87654E-09 8.19467E-07
1.60000E+00 3.48807E-10 8.77640E-09 8.97689E-09 1.00005E-06
1.70000E+00 3.73940E-10 8.73611E-09 1.15433E-08 1.20629E-06
1.80000E+00 3.99725E-10 8.69870E-09 1.46473E-08 1.44015E-06
1.90000E+00 4.26215E-10 8.66450E-09 1.83683E-08 1.70366E-06
2.00000E+00 4.53467E-10 8.63387E-09 2.27937E-08 1.99892E-06
2.20000E+00 5.10490E-10 8.58475E-09 3.41535E-08 2.69348E-06
2.40000E+00 5.71309E-10 8.55431E-09 4.96232E-08 3.54226E-06
2.60000E+00 6.36496E-10 8.54567E-09 7.02904E-08 4.56524E-06
2.80000E+00 7.06704E-10 8.56215E-09 9.74746E-08 5.78425E-06
3.00000E+00 7.82669E-10 8.60726E-09 1.32777E-07 7.22328E-06
3.20000E+00 8.65234E-10 8.68477E-09 1.78141E-07 8.90885E-06
3.40000E+00 9.55359E-10 8.79871E-09 2.35930E-07 1.08705E-05
3.60000E+00 1.05415E-09 8.95343E-09 3.09021E-07 1.31412E-05
3.80000E+00 1.16285E-09 9.15361E-09 4.00919E-07 1.57580E-05
4.00000E+00 1.28293E-09 9.40434E-09 5.15898E-07 1.87627E-05
4.50000E+00 1.64432E-09 1.02899E-08 9.41463E-07 2.82988E-05
5.00000E+00 2.12031E-09 1.16290E-08 1.66529E-06 4.15115E-05
5.50000E+00 2.75276E-09 1.35501E-08 2.87764E-06 5.97122E-05
6.00000E+00 3.58477E-09 1.62185E-08 4.86514E-06 8.47535E-05
6.50000E+00 4.62788E-09 1.98498E-08 7.98549E-06 1.19276E-04
7.00000E+00 5.77958E-09 2.47291E-08 1.24558E-05 1.67070E-04
7.50000E+00 6.71979E-09 3.17746E-08 1.78123E-05 2.33618E-04
8.00000E+00 6.99604E-09 4.20372E-08 2.25062E-05 3.26907E-04
8.50000E+00 6.44351E-09 5.54806E-08 2.48633E-05 4.58671E-04
9.00000E+00 5.38751E-09 7.32140E-08 2.46772E-05 6.46288E-04
9.50000E+00 4.26629E-09 9.68151E-08 2.29827E-05 9.15729E-04
1.00000E+01 3.31276E-09 1.28560E-07 2.08147E-05 1.30611E-03
1.05000E+01 2.57440E-09 1.71772E-07 1.87251E-05 1.87666E-03
1.10000E+01 2.02175E-09 2.31337E-07 1.69077E-05 2.71706E-03
1.15000E+01 1.61040E-09 3.14407E-07 1.53889E-05 3.96139E-03
1.20000E+01 1.30197E-09 4.31152E-07 1.41359E-05 5.80285E-03
1.25000E+01 1.06773E-09 5.94802E-07 1.31030E-05 8.49544E-03
1.30000E+01 8.87202E-10 8.18502E-07 1.22471E-05 1.23030E-02
1.35000E+01 7.46008E-10 1.10324E-06 1.15325E-05 1.73202E-02
1.40000E+01 6.34007E-10 1.41188E-06 1.09309E-05 2.31291E-02
1.45000E+01 5.43989E-10 1.65009E-06 1.04201E-05 2.85639E-02
1.50000E+01 4.70761E-10 1.71591E-06 9.98284E-06 3.21861E-02
1.55000E+01 4.10532E-10 1.59994E-06 9.60554E-06 3.33365E-02
1.60000E+01 3.60494E-10 1.38523E-06 9.27765E-06 3.24813E-02
1.65000E+01 3.18541E-10 1.15656E-06 8.99077E-06 3.05514E-02
1.70000E+01 2.83072E-10 9.55935E-07 8.73824E-06 2.82971E-02
1.75000E+01 2.52856E-10 7.93347E-07 8.51466E-06 2.61285E-02
1.80000E+01 2.26934E-10 6.65321E-07 8.31567E-06 2.42111E-02
1.85000E+01 2.04554E-10 5.65020E-07 8.13771E-06 2.25817E-02
1.90000E+01 1.85116E-10 4.85976E-07 7.97784E-06 2.12227E-02
1.95000E+01 1.68143E-10 4.23017E-07 7.83364E-06 2.00982E-02
2.00000E+01 1.53247E-10 3.72240E-07 7.70306E-06 1.91702E-02
2.10000E+01 1.28482E-10 2.96468E-07 7.47619E-06 1.77714E-02
2.20000E+01 1.08910E-10 2.43518E-07 7.28646E-06 1.68131E-02
2.30000E+01 9.32143E-11 2.04954E-07 7.12600E-06 1.61525E-02
2.40000E+01 8.04634E-11 1.75873E-07 6.98895E-06 1.56947E-02
2.50000E+01 6.99860E-11 1.53293E-07 6.87086E-06 1.53755E-02
2.60000E+01 6.12886E-11 1.35325E-07 6.76830E-06 1.51497E-02
2.70000E+01 5.40027E-11 1.20728E-07 6.67862E-06 1.49848E-02
2.80000E+01 4.78487E-11 1.08658E-07 6.59970E-06 1.49870E-02
2.90000E+01 4.26117E-11 9.85229E-08 6.52985E-06 1.50977E-02
3.00000E+01 3.81247E-11 8.99009E-08 6.46770E-06 1.52513E-02
3.10000E+01 3.42561E-11 8.24811E-08 6.41215E-06 1.54390E-02
3.20000E+01 3.09017E-11 7.60316E-08 6.36226E-06 1.56540E-02
3.30000E+01 2.79775E-11 7.03757E-08 6.31729E-06 1.58907E-02
#nucleus-nld-mass-strength-omp 127Bi-1-1-2-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
2.00000E-03 1.91057E-12 2.08141E-11 9.60358E-20 1.04623E-18
5.00000E-03 4.77643E-12 5.20354E-11 3.75140E-18 4.08685E-17
1.00000E-02 9.55288E-12 1.04071E-10 6.00225E-17 6.53896E-16
2.00000E-02 1.91059E-11 2.08142E-10 9.60368E-16 1.04624E-14
5.00000E-02 4.77674E-11 5.20364E-10 3.75165E-14 4.08693E-13
1.00000E-01 9.55538E-11 1.04079E-09 6.00382E-13 6.53948E-12
2.00000E-01 1.91259E-10 2.08208E-09 9.61374E-12 1.04657E-10
3.00000E-01 2.87269E-10 3.12438E-09 4.87340E-11 5.30038E-10
4.00000E-01 3.83736E-10 4.16818E-09 1.54309E-10 1.67612E-09
5.00000E-01 4.80815E-10 5.21399E-09 3.77631E-10 4.09506E-09
6.00000E-01 5.78664E-10 6.26232E-09 7.85344E-10 8.49902E-09
7.00000E-01 6.77442E-10 7.31368E-09 1.45998E-09 1.57619E-08
8.00000E-01 7.77313E-10 8.36858E-09 2.50061E-09 2.69216E-08
9.00000E-01 8.78444E-10 9.42754E-09 4.02366E-09 4.31823E-08
1.00000E+00 9.81008E-10 1.04911E-08 6.16385E-09 6.59174E-08
1.10000E+00 1.08518E-09 1.15597E-08 9.07528E-09 9.66731E-08
1.20000E+00 1.19115E-09 1.26340E-08 1.29327E-08 1.37172E-07
1.30000E+00 1.29909E-09 1.37145E-08 1.79329E-08 1.89317E-07
1.40000E+00 1.40922E-09 1.48017E-08 2.42965E-08 2.55197E-07
1.50000E+00 1.52174E-09 1.58962E-08 3.22696E-08 3.37091E-07
1.60000E+00 1.63685E-09 1.69986E-08 4.21259E-08 4.37474E-07
1.70000E+00 1.75479E-09 1.81093E-08 5.41692E-08 5.59022E-07
1.80000E+00 1.87579E-09 1.92291E-08 6.87357E-08 7.04623E-07
1.90000E+00 2.00010E-09 2.03585E-08 8.61973E-08 8.77378E-07
2.00000E+00 2.12799E-09 2.14981E-08 1.06964E-07 1.08061E-06
2.20000E+00 2.39558E-09 2.38105E-08 1.60273E-07 1.59300E-06
2.40000E+00 2.68098E-09 2.61713E-08 2.32867E-07 2.27320E-06
2.60000E+00 2.98689E-09 2.85859E-08 3.29852E-07 3.15684E-06
2.80000E+00 3.31635E-09 3.10600E-08 4.57420E-07 4.28406E-06
3.00000E+00 3.67284E-09 3.35995E-08 6.23083E-07 5.70002E-06
3.20000E+00 4.06029E-09 3.62107E-08 8.35963E-07 7.45533E-06
3.40000E+00 4.48322E-09 3.89002E-08 1.10715E-06 9.60659E-06
3.60000E+00 4.94680E-09 4.16752E-08 1.45015E-06 1.22170E-05
3.80000E+00 5.45694E-09 4.45433E-08 1.88139E-06 1.53572E-05
4.00000E+00 6.02043E-09 4.75124E-08 2.42096E-06 1.91059E-05
4.50000E+00 7.71630E-09 5.54358E-08 4.41801E-06 3.17401E-05
5.00000E+00 9.95002E-09 6.42015E-08 7.81473E-06 5.04237E-05
5.50000E+00 1.29179E-08 7.39967E-08 1.35039E-05 7.73536E-05
6.00000E+00 1.68223E-08 8.50517E-08 2.28307E-05 1.15429E-04
6.50000E+00 2.17173E-08 9.76527E-08 3.74736E-05 1.68502E-04
7.00000E+00 2.71219E-08 1.12160E-07 5.84513E-05 2.41719E-04
7.50000E+00 3.15340E-08 1.29031E-07 8.35879E-05 3.42025E-04
8.00000E+00 3.28304E-08 1.48855E-07 1.05615E-04 4.78865E-04
8.50000E+00 3.02375E-08 1.72398E-07 1.16676E-04 6.65224E-04
9.00000E+00 2.52820E-08 2.00664E-07 1.15803E-04 9.19131E-04
9.50000E+00 2.00205E-08 2.34987E-07 1.07851E-04 1.26589E-03
1.00000E+01 1.55458E-08 2.77144E-07 9.76771E-05 1.74135E-03
1.05000E+01 1.20809E-08 3.29519E-07 8.78714E-05 2.39678E-03
1.10000E+01 9.48747E-09 3.95295E-07 7.93430E-05 3.30582E-03
1.15000E+01 7.55715E-09 4.78657E-07 7.22156E-05 4.57402E-03
1.20000E+01 6.10977E-09 5.84878E-07 6.63359E-05 6.35022E-03
1.25000E+01 5.01053E-09 7.19954E-07 6.14885E-05 8.83517E-03
1.30000E+01 4.16338E-09 8.88963E-07 5.74720E-05 1.22714E-02
1.35000E+01 3.50080E-09 1.09159E-06 5.41188E-05 1.68750E-02
1.40000E+01 2.97521E-09 1.31326E-06 5.12958E-05 2.26419E-02
1.45000E+01 2.55278E-09 1.51448E-06 4.88987E-05 2.90100E-02
1.50000E+01 2.20914E-09 1.63372E-06 4.68466E-05 3.46443E-02
1.55000E+01 1.92651E-09 1.62169E-06 4.50760E-05 3.79439E-02
1.60000E+01 1.69169E-09 1.48397E-06 4.35373E-05 3.81913E-02
1.65000E+01 1.49482E-09 1.27569E-06 4.21911E-05 3.60062E-02
1.70000E+01 1.32838E-09 1.05602E-06 4.10060E-05 3.25987E-02
1.75000E+01 1.18658E-09 8.59542E-07 3.99568E-05 2.89442E-02
1.80000E+01 1.06494E-09 6.97474E-07 3.90230E-05 2.55579E-02
1.85000E+01 9.59910E-10 5.68664E-07 3.81879E-05 2.26230E-02
1.90000E+01 8.68697E-10 4.67655E-07 3.74377E-05 2.01542E-02
1.95000E+01 7.89048E-10 3.88515E-07 3.67610E-05 1.81005E-02
2.00000E+01 7.19145E-10 3.26158E-07 3.61482E-05 1.63945E-02
2.10000E+01 6.02929E-10 2.36798E-07 3.50836E-05 1.37789E-02
2.20000E+01 5.11084E-10 1.78052E-07 3.41933E-05 1.19123E-02
2.30000E+01 4.37428E-10 1.37864E-07 3.34403E-05 1.05393E-02
2.40000E+01 3.77591E-10 1.09378E-07 3.27971E-05 9.50044E-03
2.50000E+01 3.28424E-10 8.85591E-08 3.22429E-05 8.69427E-03
2.60000E+01 2.87610E-10 7.29390E-08 3.17617E-05 8.05489E-03
2.70000E+01 2.53419E-10 6.09531E-08 3.13408E-05 7.53819E-03
2.80000E+01 2.24540E-10 5.15759E-08 3.09705E-05 7.11378E-03
2.90000E+01 1.99965E-10 4.41153E-08 3.06427E-05 6.76026E-03
3.00000E+01 1.78908E-10 3.80918E-08 3.03510E-05 6.46213E-03
3.10000E+01 1.60754E-10 3.31655E-08 3.00903E-05 6.20799E-03
3.20000E+01 1.45013E-10 2.90901E-08 2.98562E-05 5.98929E-03
3.30000E+01 1.31290E-10 2.56843E-08 2.96452E-05 5.79948E-03
#nucleus-nld-mass-strength-omp 127Bi-1-1-2-2
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
2.00000E-03 1.91057E-12 2.08141E-11 9.60358E-20 1.04623E-18
5.00000E-03 4.77643E-12 5.20354E-11 3.75140E-18 4.08685E-17
1.00000E-02 9.55288E-12 1.04071E-10 6.00225E-17 6.53896E-16
2.00000E-02 1.91059E-11 2.08142E-10 9.60368E-16 1.04624E-14
5.00000E-02 4.77674E-11 5.20364E-10 3.75165E-14 4.08693E-13
1.00000E-01 9.55538E-11 1.04079E-09 6.00382E-13 6.53948E-12
2.00000E-01 1.91259E-10 2.08208E-09 9.61374E-12 1.04657E-10
3.00000E-01 2.87269E-10 3.12438E-09 4.87340E-11 5.30038E-10
4.00000E-01 3.83736E-10 4.16818E-09 1.54309E-10 1.67612E-09
5.00000E-01 4.80815E-10 5.21399E-09 3.77631E-10 4.09506E-09
6.00000E-01 5.78664E-10 6.26232E-09 7.85344E-10 8.49902E-09
7.00000E-01 6.77442E-10 7.31368E-09 1.45998E-09 1.57619E-08
8.00000E-01 7.77313E-10 8.36858E-09 2.50061E-09 2.69216E-08
9.00000E-01 8.78444E-10 9.42754E-09 4.02366E-09 4.31823E-08
1.00000E+00 9.81008E-10 1.04911E-08 6.16385E-09 6.59174E-08
1.10000E+00 1.08518E-09 1.15597E-08 9.07528E-09 9.66731E-08
1.20000E+00 1.19115E-09 1.26340E-08 1.29327E-08 1.37172E-07
1.30000E+00 1.29909E-09 1.37145E-08 1.79329E-08 1.89317E-07
1.40000E+00 1.40922E-09 1.48017E-08 2.42965E-08 2.55197E-07
1.50000E+00 1.52174E-09 1.58962E-08 3.22696E-08 3.37091E-07
1.60000E+00 1.63685E-09 1.69986E-08 4.21259E-08 4.37474E-07
1.70000E+00 1.75479E-09 1.81093E-08 5.41692E-08 5.59022E-07
1.80000E+00 1.87579E-09 1.92291E-08 6.87357E-08 7.04623E-07
1.90000E+00 2.00010E-09 2.03585E-08 8.61973E-08 8.77378E-07
2.00000E+00 2.12799E-09 2.14981E-08 1.06964E-07 1.08061E-06
2.20000E+00 2.39558E-09 2.38105E-08 1.60273E-07 1.59300E-06
2.40000E+00 2.68098E-09 2.61713E-08 2.32867E-07 2.27320E-06
2.60000E+00 2.98689E-09 2.85859E-08 3.29852E-07 3.15684E-06
2.80000E+00 3.31635E-09 3.10600E-08 4.57420E-07 4.28406E-06
3.00000E+00 3.67284E-09 3.35995E-08 6.23083E-07 5.70002E-06
3.20000E+00 4.06029E-09 3.62107E-08 8.35963E-07 7.45533E-06
3.40000E+00 4.48322E-09 3.89002E-08 1.10715E-06 9.60659E-06
3.60000E+00 4.94680E-09 4.16752E-08 1.45015E-06 1.22170E-05
3.80000E+00 5.45694E-09 4.45433E-08 1.88139E-06 1.53572E-05
4.00000E+00 6.02043E-09 4.75124E-08 2.42096E-06 1.91059E-05
4.50000E+00 7.71630E-09 5.54358E-08 4.41801E-06 3.17401E-05
5.00000E+00 9.95002E-09 6.42015E-08 7.81473E-06 5.04237E-05
5.50000E+00 1.29179E-08 7.39967E-08 1.35039E-05 7.73536E-05
6.00000E+00 1.68223E-08 8.50517E-08 2.28307E-05 1.15429E-04
6.50000E+00 2.17173E-08 9.76527E-08 3.74736E-05 1.68502E-04
7.00000E+00 2.71219E-08 1.12160E-07 5.84513E-05 2.41719E-04
7.50000E+00 3.15340E-08 1.29031E-07 8.35879E-05 3.42025E-04
8.00000E+00 3.28304E-08 1.48855E-07 1.05615E-04 4.78865E-04
8.50000E+00 3.02375E-08 1.72398E-07 1.16676E-04 6.65224E-04
9.00000E+00 2.52820E-08 2.00664E-07 1.15803E-04 9.19131E-04
9.50000E+00 2.00205E-08 2.34987E-07 1.07851E-04 1.26589E-03
1.00000E+01 1.55458E-08 2.77144E-07 9.76771E-05 1.74135E-03
1.05000E+01 1.20809E-08 3.29519E-07 8.78714E-05 2.39678E-03
1.10000E+01 9.48747E-09 3.95295E-07 7.93430E-05 3.30582E-03
1.15000E+01 7.55715E-09 4.78657E-07 7.22156E-05 4.57402E-03
1.20000E+01 6.10977E-09 5.84878E-07 6.63359E-05 6.35022E-03
1.25000E+01 5.01053E-09 7.19954E-07 6.14885E-05 8.83517E-03
1.30000E+01 4.16338E-09 8.88963E-07 5.74720E-05 1.22714E-02
1.35000E+01 3.50080E-09 1.09159E-06 5.41188E-05 1.68750E-02
