#Energy (MeV)		 GSF (MeV^-3)		  errGSF (MeV^-3)
6.000000000000000000e+00 8.140418089886519288e-08 1.139029327735466409e-08
6.200000000000000178e+00 1.054679843807874036e-07 1.375115575101944985e-08
6.400000000000000355e+00 1.017784248564488197e-07 1.328009535681853276e-08
6.600000000000000533e+00 1.058810340432748715e-07 1.358655847583353067e-08
6.800000000000000711e+00 1.267008967609879894e-07 1.517928264537788818e-08
7.000000000000000888e+00 1.217536830571950075e-07 1.423485307044323619e-08
7.200000000000001066e+00 1.546730660886849312e-07 1.856480532962531841e-08
7.400000000000001243e+00 1.619349207084016603e-07 1.872256979423942833e-08
7.600000000000001421e+00 1.747090731833662811e-07 2.101306523139774638e-08
7.800000000000001599e+00 1.771522134735534648e-07 2.186110369175319258e-08
8.000000000000001776e+00 1.991383414728924451e-07 2.419637289245883771e-08
8.200000000000002842e+00 1.994598453620205392e-07 2.380284290629150200e-08
8.400000000000002132e+00 2.144304630715691030e-07 2.579141821232134170e-08
8.600000000000001421e+00 2.073427658546496003e-07 2.852644315139152454e-08
8.800000000000002487e+00 2.089557149187576888e-07 2.783344324933661603e-08
9.000000000000003553e+00 2.028818182849819634e-07 2.890096866961093953e-08
9.200000000000002842e+00 1.957954315678364774e-07 2.745671932993052509e-08
9.400000000000002132e+00 1.784049510931616294e-07 2.384991703760209722e-08
9.600000000000003197e+00 2.111967206154709464e-07 3.131962763477039042e-08
9.800000000000004263e+00 1.869510429597613439e-07 2.469049281573358702e-08
1.000000000000000355e+01 1.616308976807351508e-07 1.965094463183634605e-08
1.020000000000000284e+01 1.481080161282544965e-07 1.652142124122460859e-08
1.040000000000000391e+01 1.955991893657678327e-07 2.636392700712604873e-08
1.060000000000000497e+01 2.520207943177072597e-07 3.780782027862731801e-08
1.080000000000000426e+01 2.272003744572026064e-07 3.509598557326338594e-08
1.100000000000000355e+01 2.758513624653289209e-07 4.547998641787571375e-08
1.120000000000000462e+01 3.389990222995704641e-07 5.161115957730731499e-08
1.140000000000000568e+01 3.618784616510361251e-07 5.101404817713160088e-08
1.160000000000000497e+01 4.110118244751091692e-07 5.704035611024462122e-08
1.180000000000000426e+01 4.336417098229717747e-07 6.099717960406566339e-08
1.200000000000000533e+01 4.725241962009635690e-07 6.681366081065550540e-08
1.220000000000000639e+01 5.133695002048266849e-07 7.047963301470578761e-08
1.240000000000000568e+01 5.553816181128925847e-07 7.827914765695801231e-08
1.260000000000000497e+01 6.211862536792311469e-07 8.628358631584744287e-08
1.280000000000000604e+01 6.591244181397879921e-07 9.029663387384053086e-08
1.300000000000000711e+01 7.052978033312960993e-07 1.016635579084409010e-07
1.320000000000000639e+01 7.525575643880025142e-07 1.079931153412301211e-07
1.340000000000000568e+01 8.541111018930942150e-07 1.148258176835519454e-07
1.360000000000000675e+01 9.306133611013173257e-07 1.259054046218549006e-07
1.380000000000000782e+01 1.019831742007338813e-06 1.378619042240062701e-07
1.400000000000000711e+01 1.128702712955819698e-06 1.519863213523718156e-07
1.420000000000000639e+01 1.222086161872930560e-06 1.646586266083987112e-07
1.440000000000000746e+01 1.337485581035238270e-06 1.805257464817464581e-07
1.460000000000000853e+01 1.390581823404979261e-06 1.876586068238133653e-07
1.480000000000000782e+01 1.461739168594041264e-06 1.989177355609667597e-07
1.500000000000000711e+01 1.496687801808461721e-06 2.025461026745088452e-07
1.520000000000000817e+01 1.586382043076435983e-06 2.145527027293862184e-07
1.540000000000000924e+01 1.602487466929776384e-06 2.145062079895032653e-07
1.560000000000000853e+01 1.573707364098422576e-06 2.136126140266059380e-07
1.580000000000000782e+01 1.570567258801867318e-06 2.148295320646828455e-07
1.600000000000000711e+01 1.477553789457858603e-06 2.036675713054263429e-07
1.620000000000000995e+01 1.460777204731369279e-06 2.019813988724328465e-07
1.640000000000000924e+01 1.431286486823657232e-06 1.964520881109532621e-07
1.660000000000000853e+01 1.329646418578057186e-06 1.837015222977893079e-07
1.680000000000001137e+01 1.269140950845999725e-06 1.752196693761498820e-07
1.700000000000001066e+01 1.125300971368218219e-06 1.476621643243672189e-07
1.720000000000000995e+01 1.076142208713271796e-06 1.505978169652061439e-07
1.740000000000000924e+01 9.364970387200685355e-07 1.253977805134080751e-07
1.760000000000000853e+01 8.870957604974531534e-07 1.230823805716778541e-07
1.780000000000001137e+01 7.932656502669984485e-07 1.035397960720100698e-07
1.800000000000001066e+01 6.640236980767275337e-07 8.481229031418904289e-08
1.820000000000000995e+01 5.566714195078289488e-07 7.224683917537793017e-08
1.840000000000001279e+01 5.800037672309992903e-07 7.297547826257944949e-08
1.860000000000001208e+01 5.521152967543026185e-07 7.007943424108478170e-08
1.880000000000001137e+01 4.392275764649587165e-07 5.639355986005622802e-08
1.900000000000001066e+01 4.087700040608058895e-07 5.130486054337804486e-08
1.920000000000000995e+01 4.657173315301749916e-07 5.903706720997477522e-08
1.940000000000001279e+01 3.195719390386357551e-07 4.018298375572095037e-08
1.960000000000001208e+01 3.451363303058871093e-07 4.364572143681894038e-08
1.980000000000001137e+01 2.967991412843989535e-07 3.729774597450890672e-08
2.000000000000001421e+01 2.416068950494724056e-07 2.984084950072501289e-08
