#Energy (MeV)		 dB(M1)/dE (µN**2/MeV)	  stat. error		   sys. error	
6.000000000000000000e+00 8.219539800430793273e-15 7.481870142292449122e-16 1.091562704216758977e-15
6.200000000000000178e+00 3.501607058923660385e-16 3.329982992601832530e-17 5.201906706934858032e-17
6.400000000000000355e+00 7.685316943504651999e-01 1.190525261620061226e-01 1.091851863591046523e-01
6.600000000000000533e+00 3.168776453601665488e-02 2.270737420014224892e-03 3.816629958578803775e-03
6.800000000000000711e+00 1.023999981966571715e+00 1.920455443018501684e-01 1.148145834344088123e-01
7.000000000000000888e+00 2.027034100442162146e+00 3.440695743931175277e-01 2.273649894434990604e-01
7.200000000000001066e+00 2.579953503161807049e+00 6.094925220267572996e-01 2.897255032157250443e-01
7.400000000000001243e+00 2.493249032464551540e+00 4.510754311548099138e-01 2.788506708315470761e-01
7.600000000000001421e+00 2.626574670288623903e+00 6.115128660884784351e-01 2.934099738672373281e-01
7.800000000000001599e+00 2.666824408694957071e+00 6.626237830859040834e-01 2.990750749046078849e-01
8.000000000000001776e+00 2.663793482879973862e+00 6.524049887244213197e-01 3.000376945269435658e-01
8.200000000000002842e+00 2.254882357577726371e+00 5.188426149035926249e-01 2.518703278998904449e-01
8.400000000000002132e+00 2.164288617588728592e+00 4.811213463288225300e-01 2.443487627368248205e-01
8.600000000000001421e+00 3.379106748785870362e+00 1.221322768944186565e+00 3.801239328172065779e-01
8.800000000000002487e+00 3.430664958959810829e+00 1.082571659236146955e+00 3.865968652761219149e-01
9.000000000000003553e+00 3.425184632057898693e+00 1.272112461878071032e+00 3.875528006398654690e-01
9.200000000000002842e+00 3.871152104458279730e+00 1.176912426857658289e+00 4.375128524248379502e-01
9.400000000000002132e+00 5.699972116407952427e+00 1.039087037782766343e+00 6.449993812549701389e-01
9.600000000000003197e+00 4.210495074565507423e+00 1.399850597408033526e+00 4.784910703407713739e-01
9.800000000000004263e+00 6.016420439637560236e+00 1.010575890096205187e+00 6.830653800766135486e-01
1.000000000000000355e+01 7.135762651727080907e+00 8.190199640148216886e-01 8.164087751838933205e-01
1.020000000000000284e+01 9.654598706133441510e+00 8.712499764378628386e-01 1.108106650412548078e+00
1.040000000000000391e+01 6.540864949503411019e+00 1.043701524065784314e+00 7.489482626376717800e-01
1.060000000000000497e+01 3.444629844595566315e+00 1.283491895697911334e+00 3.949828763038639168e-01
1.080000000000000426e+01 5.507464563523194023e+00 1.988003553183986805e+00 6.317046227097895539e-01
1.100000000000000355e+01 4.771703133269125097e+00 2.133123345622490508e+00 5.480101869311176932e-01
1.120000000000000462e+01 3.788622996472182258e+00 1.699631092553995249e+00 4.368662021972670173e-01
