#data imported from #https://www.nndc.bnl.gov/astro/calcmacs.jsp
modn	nucleus	model	cntry	year	reac	kT	MACS	ngamma
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	51.7040	3.761E2	7.152E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	51.7040	4.777E2	9.084E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	60.3213	4.967E2	1.020E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	60.3213	4.967E2	1.020E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	60.3213	3.414E2	7.012E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	60.3213	2.546E2	5.229E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	60.3213	3.414E2	7.012E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	60.3213	4.469E2	9.179E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	68.9387	4.587E2	1.007E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	68.9387	4.587E2	1.007E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	68.9387	3.133E2	6.879E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	68.9387	2.375E2	5.215E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	68.9387	3.133E2	6.879E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	68.9387	4.197E2	9.215E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	77.5560	4.268E2	9.941E7
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	77.5560	4.268E2	9.941E7
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	77.5560	2.899E2	6.753E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	77.5560	2.237E2	5.211E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	77.5560	2.899E2	6.753E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	77.5560	3.955E2	9.211E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	86.1733	3.996E2	9.811E7
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	86.1733	3.996E2	9.811E7
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	86.1733	2.701E2	6.631E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	86.1733	2.123E2	5.212E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	86.1733	2.701E2	6.631E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	86.1733	3.739E2	9.180E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	129.260	3.046E2	9.159E7
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	129.260	3.046E2	9.159E7
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	129.260	2.025E2	6.087E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	129.260	1.750E2	5.261E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	129.260	2.025E2	6.087E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	129.260	2.927E2	8.800E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	172.347	2.454E2	8.521E7
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	172.347	2.454E2	8.521E7
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	172.347	1.623E2	5.635E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	172.347	1.541E2	5.350E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	172.347	1.623E2	5.635E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	172.347	2.386E2	8.283E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	301.607	1.508E2	6.924E7
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	301.607	1.508E2	6.924E7
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	301.607	1.016E2	4.667E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	301.607	1.245E2	5.72E07
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	301.607	1.016E2	4.667E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	301.607	1.485E2	6.818E7

