#nucleus-nld-mass-strength-omp 128Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 8.41993E-09 0.00000E+00 2.29217E-16
2.00000E-03 4.10039E-13 8.41931E-09 2.06108E-20 1.83384E-15
5.00000E-03 1.02510E-12 8.41745E-09 8.05111E-19 2.86584E-14
1.00000E-02 2.05020E-12 8.41433E-09 1.28818E-17 2.29330E-13
2.00000E-02 4.10044E-12 8.40810E-09 2.06110E-16 1.83563E-12
5.00000E-02 1.02517E-11 8.38922E-09 8.05164E-15 2.87284E-11
1.00000E-01 2.05074E-11 8.35728E-09 1.28852E-13 2.30446E-10
2.00000E-01 4.10475E-11 8.29171E-09 2.06327E-12 1.85339E-09
3.00000E-01 6.16532E-11 8.22414E-09 1.04592E-11 6.28806E-09
4.00000E-01 8.23575E-11 8.15488E-09 3.31179E-11 1.49824E-08
5.00000E-01 1.03194E-10 8.08421E-09 8.10482E-11 2.94129E-08
6.00000E-01 1.24196E-10 8.01245E-09 1.68555E-10 5.10848E-08
7.00000E-01 1.45398E-10 7.93989E-09 3.13353E-10 8.15326E-08
8.00000E-01 1.66837E-10 7.86682E-09 5.36712E-10 1.22321E-07
9.00000E-01 1.88547E-10 7.79357E-09 8.63627E-10 1.75045E-07
1.00000E+00 2.10565E-10 7.72041E-09 1.32302E-09 2.41334E-07
1.10000E+00 2.32931E-10 7.64766E-09 1.94799E-09 3.22850E-07
1.20000E+00 2.55684E-10 7.57563E-09 2.77605E-09 4.21293E-07
1.30000E+00 2.78864E-10 7.50462E-09 3.84948E-09 5.38401E-07
1.40000E+00 3.02514E-10 7.43495E-09 5.21566E-09 6.75957E-07
1.50000E+00 3.26678E-10 7.36693E-09 6.92746E-09 8.35787E-07
1.60000E+00 3.51404E-10 7.30088E-09 9.04372E-09 1.01977E-06
1.70000E+00 3.76739E-10 7.23713E-09 1.16297E-08 1.22983E-06
1.80000E+00 4.02735E-10 7.17601E-09 1.47576E-08 1.46795E-06
1.90000E+00 4.29444E-10 7.11786E-09 1.85075E-08 1.73620E-06
2.00000E+00 4.56924E-10 7.06302E-09 2.29675E-08 2.03668E-06
2.20000E+00 5.14438E-10 6.96470E-09 3.44176E-08 2.74323E-06
2.40000E+00 5.75793E-10 6.88398E-09 5.00127E-08 3.60616E-06
2.60000E+00 6.41575E-10 6.82392E-09 7.08512E-08 4.64561E-06
2.80000E+00 7.12442E-10 6.78777E-09 9.82661E-08 5.88354E-06
3.00000E+00 7.89144E-10 6.77901E-09 1.33875E-07 7.34407E-06
3.20000E+00 8.72535E-10 6.80131E-09 1.79644E-07 9.05385E-06
3.40000E+00 9.63589E-10 6.85865E-09 2.37962E-07 1.10425E-05
3.60000E+00 1.06342E-09 6.95528E-09 3.11741E-07 1.33433E-05
3.80000E+00 1.17332E-09 7.09582E-09 4.04527E-07 1.59932E-05
4.00000E+00 1.29474E-09 7.28526E-09 5.20648E-07 1.90345E-05
4.50000E+00 1.66036E-09 8.00974E-09 9.50647E-07 2.86776E-05
5.00000E+00 2.14215E-09 9.17509E-09 1.68244E-06 4.20239E-05
5.50000E+00 2.78227E-09 1.09079E-08 2.90849E-06 6.03916E-05
6.00000E+00 3.62339E-09 1.33709E-08 4.91755E-06 8.56454E-05
6.50000E+00 4.67418E-09 1.81001E-08 8.06539E-06 1.20446E-04
7.00000E+00 5.82453E-09 2.42532E-08 1.25526E-05 1.68616E-04
7.50000E+00 6.74435E-09 3.22546E-08 1.78774E-05 2.35695E-04
8.00000E+00 6.98373E-09 4.26902E-08 2.24666E-05 3.29760E-04
8.50000E+00 6.39994E-09 5.63694E-08 2.46952E-05 4.62693E-04
9.00000E+00 5.33348E-09 7.44280E-08 2.44297E-05 6.52123E-04
9.50000E+00 4.21717E-09 9.84834E-08 2.27181E-05 9.24436E-04
1.00000E+01 3.27358E-09 1.30871E-07 2.05685E-05 1.31945E-03
1.05000E+01 2.54470E-09 1.75008E-07 1.85090E-05 1.89759E-03
1.10000E+01 1.99952E-09 2.35919E-07 1.67218E-05 2.75056E-03
1.15000E+01 1.59369E-09 3.20971E-07 1.52292E-05 4.01581E-03
1.20000E+01 1.28925E-09 4.40628E-07 1.39978E-05 5.89191E-03
1.25000E+01 1.05790E-09 6.08453E-07 1.29824E-05 8.64043E-03
1.30000E+01 8.79489E-10 8.37686E-07 1.21406E-05 1.25325E-02
1.35000E+01 7.39863E-10 1.12838E-06 1.14375E-05 1.76605E-02
1.40000E+01 6.29041E-10 1.44037E-06 1.08453E-05 2.35782E-02
